#Gene	CanonicalTranscript
ABI1	ENST00000536334.5
BRCA1	ENST00000357654.9
BRCA2	ENST00000544455.6
BRD3	ENST00000303407.12
BRD4	ENST00000679869.1
BRIP1	ENST00000259008.7
BTG1	ENST00000256015.5
BTG2	ENST00000290551.5
BTK	ENST00000695615.1
BUB1B	ENST00000287598.11
CACNA1D	ENST00000288139.11
CALR	ENST00000316448.10
CAMTA1	ENST00000303635.12
CANT1	ENST00000302345.6
CARD11	ENST00000396946.9
CASP3	ENST00000700101.1
CASP8	ENST00000696067.1
CASP9	ENST00000333868.10
CASR	ENST00000639785.2
CBFA2T3	ENST00000327483.9
CBFB	ENST00000412916.7
CBL	ENST00000264033.6
CBLB	ENST00000394030.8
CBLC	ENST00000647358.2
CCDC6	ENST00000263102.7
CCNB1IP1	ENST00000437553.6
CCNC	ENST00000520429.6
CCND1	ENST00000227507.3
CCND2	ENST00000676411.1
CCND3	ENST00000372991.9
CCNE1	ENST00000262643.8
CCR4	ENST00000330953.6
CCR7	ENST00000246657.2
CD209	ENST00000315599.12
CD274	ENST00000381577.4
CD28	ENST00000324106.9
CD74	ENST00000009530.13
CD79A	ENST00000221972.8
CD79B	ENST00000006750.8
CDC73	ENST00000367435.5
CDH1	ENST00000261769.10
CDH10	ENST00000264463.8
CDH11	ENST00000268603.9
CDH17	ENST00000450165.6
CDK12	ENST00000430627.6
CDK4	ENST00000257904.11
CDK6	ENST00000424848.3
CDKN1A	ENST00000615513.4
CDKN1B	ENST00000684771.1
CDKN1C	ENST00000414822.8
CDKN2A	ENST00000579755.2
CDKN2B	ENST00000276925.7
CDKN2C	ENST00000262662.5
CDX2	ENST00000381020.8
CEBPA	ENST00000498907.3
CEP89	ENST00000305768.10
CHCHD7	ENST00000355315.8
CHD2	ENST00000394196.9
CHD4	ENST00000544040.7
CHEK2	ENST00000404276.6
CHIC2	ENST00000263921.8
CHST11	ENST00000303694.6
CIC	ENST00000681038.1
CIITA	ENST00000324288.14
CLIP1	ENST00000620786.5
CLP1	ENST00000681650.1
CLTC	ENST00000269122.8
CLTCL1	ENST00000427926.6
CNBD1	ENST00000523299.6
CNBP	ENST00000502976.5
CNOT3	ENST00000221232.11
CNTNAP2	ENST00000361727.8
CNTRL	ENST00000373847.6
COL1A1	ENST00000225964.10
COL2A1	ENST00000380518.8
COL3A1	ENST00000304636.9
COX6C	ENST00000520468.7
CPEB3	ENST00000412050.8
CREB1	ENST00000353267.8
CREB3L1	ENST00000621158.5
CREB3L2	ENST00000330387.11
CREBBP	ENST00000262367.10
CRLF2	ENST00000381566.6
CRNKL1	ENST00000536226.2
CRTC1	ENST00000321949.13
CRTC3	ENST00000268184.11
CSF1R	ENST00000286301.7
CSF3R	ENST00000373104.5
CSMD3	ENST00000297405.10
CTC1	ENST00000651323.1
CTCF	ENST00000646076.1
CTNNA1	ENST00000302763.12
CTNNA2	ENST00000466387.5
CTNNB1	ENST00000643541.1
CTNND1	ENST00000524630.5
CTNND2	ENST00000304623.13
CTR9	ENST00000361367.7
CUL3	ENST00000264414.9
CUX1	ENST00000360264.7
CXCR4	ENST00000696152.1
CYLD	ENST00000569418.5
CYP2C8	ENST00000371270.6
CYSLTR2	ENST00000682523.1
DAXX	ENST00000266000.10
DCAF12L2	ENST00000360028.4
DCC	ENST00000442544.7
DCTN1	ENST00000628224.3
DDB2	ENST00000256996.9
DDIT3	ENST00000623876.2
DDR2	ENST00000367921.8
DDX10	ENST00000322536.8
DDX3X	ENST00000629496.3
DDX41	ENST00000330503.12
DDX5	ENST00000676785.1
DDX6	ENST00000534980.7
DEK	ENST00000652689.1
DGCR8	ENST00000351989.8
DICER1	ENST00000526495.6
DIRAS3	ENST00000370981.3
DIS3L2	ENST00000325385.12
DKC1	ENST00000369550.10
DLST	ENST00000334220.9
DNAJB1	ENST00000678009.1
DNAJC21	ENST00000648817.1
DNM2	ENST00000355667.11
DNMT3A	ENST00000264709.7
DOCK8	ENST00000453981.5
DROSHA	ENST00000344624.8
DUX4L1	ENST00000627662.1
EBF1	ENST00000313708.11
ECT2L	ENST00000541398.7
EED	ENST00000263360.11
EGFR	ENST00000275493.7
EIF1AX	ENST00000379607.10
EIF3E	ENST00000677040.1
EIF4A2	ENST00000323963.10
ELAC2	ENST00000338034.9
ELANE	ENST00000590230.5
ELF3	ENST00000359651.7
ELF4	ENST00000308167.10
ELK4	ENST00000357992.9
ELL	ENST00000262809.9
ELN	ENST00000380584.8
ELP1	ENST00000374647.10
EML4	ENST00000401738.3
ENG	ENST00000373203.9
EP300	ENST00000263253.9
EPAS1	ENST00000263734.5
EPCAM	ENST00000263735.9
EPHA3	ENST00000336596.7
EPHA7	ENST00000369303.9
EPS15	ENST00000371733.8
ERBB2	ENST00000269571.10
ERBB3	ENST00000267101.8
ERBB4	ENST00000342788.9
ERC1	ENST00000543086.7
ERCC1	ENST00000300853.8
ERCC2	ENST00000391945.10
ERCC3	ENST00000285398.7
ERCC4	ENST00000311895.8
ERCC5	ENST00000652225.2
ERCC6L2	ENST00000653738.2
ERG	ENST00000288319.12
ESR1	ENST00000440973.5
ETNK1	ENST00000266517.9
ETV1	ENST00000430479.6
ETV4	ENST00000319349.10
ETV5	ENST00000306376.10
ETV6	ENST00000396373.9
EWSR1	ENST00000397938.7
EXT1	ENST00000378204.7
EXT2	ENST00000533608.7
EZH2	ENST00000460911.5
EZR	ENST00000367075.4
FADD	ENST00000301838.5
FAM131B	ENST00000443739.7
FAM135B	ENST00000395297.6
FAM47C	ENST00000358047.5
FANCA	ENST00000389301.8
FANCB	ENST00000696312.1
FANCC	ENST00000289081.8
FANCD2	ENST00000675286.1
FANCE	ENST00000229769.3
FANCF	ENST00000327470.6
FANCG	ENST00000696700.1
FANCI	ENST00000310775.12
FANCL	ENST00000403295.8
FANCM	ENST00000267430.10
FAS	ENST00000652046.1
FAT1	ENST00000441802.7
FAT3	ENST00000409404.6
FAT4	ENST00000394329.9
FBLN2	ENST00000404922.8
FBXO11	ENST00000402508.5
FBXW7	ENST00000281708.10
FCGR2B	ENST00000358671.10
FCRL4	ENST00000271532.2
FEN1	ENST00000305885.3
FES	ENST00000328850.8
FEV	ENST00000295727.2
FGF23	ENST00000237837.2
FGFR1	ENST00000397091.9
FGFR2	ENST00000457416.7
FGFR3	ENST00000440486.8
FGFR4	ENST00000292408.9
FH	ENST00000366560.4
FHIT	ENST00000492590.6
FIP1L1	ENST00000703490.1
FKBP9	ENST00000242209.9
FLCN	ENST00000285071.9
FLI1	ENST00000527786.7
FLNA	ENST00000360319.9
FLT3	ENST00000241453.12
FLT4	ENST00000261937.11
FNBP1	ENST00000446176.7
FOXA1	ENST00000250448.5
FOXE1	ENST00000375123.5
FOXL2	ENST00000648323.1
FOXO1	ENST00000379561.6
FOXO3	ENST00000343882.10
FOXO4	ENST00000374259.8
FOXP1	ENST00000318789.11
FOXR1	ENST00000317011.8
FSTL3	ENST00000166139.9
FUBP1	ENST00000370768.7
FUS	ENST00000254108.12
GALNT3	ENST00000392701.8
GAS7	ENST00000432992.7
GATA1	ENST00000376670.9
GATA2	ENST00000341105.7
GATA3	ENST00000379328.9
GDNF	ENST00000326524.7
GLI1	ENST00000228682.7
GMPS	ENST00000496455.7
GNA11	ENST00000078429.9
GNAQ	ENST00000286548.9
GNAS	ENST00000371095.7
GOLGA5	ENST00000163416.7
GOLPH3	ENST00000265070.7
GOPC	ENST00000368498.7
GPC3	ENST00000370818.8
GPC5	ENST00000377067.9
GPHN	ENST00000315266.9
GPR161	ENST00000682931.1
GREM1	ENST00000651154.1
GRIN2A	ENST00000396573.6
GRM3	ENST00000361669.7
H19	ENST00000414790.8
HABP2	ENST00000351270.4
HAX1	ENST00000696932.1
HERPUD1	ENST00000439977.7
HEY1	ENST00000354724.8
HIF1A	ENST00000337138.9
HIP1	ENST00000336926.11
HLA-A	ENST00000396634.5
HLF	ENST00000226067.10
HMGA1	ENST00000401473.7
HMGA2	ENST00000403681.7
HMGN2P46	ENST00000568669.1
HNF1A	ENST00000257555.11
HNRNPA2B1	ENST00000678962.1
HOOK3	ENST00000307602.9
HOXA11	ENST00000006015.4
HOXA13	ENST00000649031.1
HOXA9	ENST00000343483.7
HOXB13	ENST00000290295.8
HOXC11	ENST00000546378.1
HOXC13	ENST00000243056.5
HOXD11	ENST00000249504.7
HOXD13	ENST00000392539.4
HRAS	ENST00000311189.8
HSP90AA1	ENST00000216281.13
HSP90AB1	ENST00000620073.4
ID3	ENST00000374561.6
IDH1	ENST00000345146.7
IDH2	ENST00000330062.8
IGF2	ENST00000481781.3
IGF2BP2	ENST00000382199.7
IKBKB	ENST00000520810.6
IKZF1	ENST00000331340.8
IKZF3	ENST00000346872.8
IL2	ENST00000226730.5
IL21R	ENST00000337929.8
IL6ST	ENST00000381298.7
IL7R	ENST00000303115.8
IRF4	ENST00000380956.9
IRS4	ENST00000564206.2
ISX	ENST00000308700.6
ITGAV	ENST00000261023.8
ITK	ENST00000422843.8
JAK1	ENST00000699312.1
JAK2	ENST00000381652.4
JAK3	ENST00000458235.7
JAZF1	ENST00000283928.10
JUN	ENST00000371222.4
KAT6A	ENST00000485568.5
KAT6B	ENST00000648725.1
KAT7	ENST00000259021.9
KCNJ5	ENST00000529694.6
KCNQ1OT1	ENST00000597346.1
KDM5A	ENST00000399788.7
KDM5C	ENST00000375401.8
KDM6A	ENST00000377967.9
KDR	ENST00000263923.5
KDSR	ENST00000645214.2
KEAP1	ENST00000171111.10
KIAA1549	ENST00000422774.2
KIF1B	ENST00000676179.1
KIF5B	ENST00000302418.5
KISS1R	ENST00000234371.10
KIT	ENST00000288135.6
KL	ENST00000380099.4
KLF4	ENST00000374672.5
KLF6	ENST00000497571.6
KLK2	ENST00000391810.6
KLLN	ENST00000445946.5
KMT2A	ENST00000534358.8
KMT2C	ENST00000262189.11
KMT2D	ENST00000301067.12
KNL1	ENST00000399668.7
KNSTRN	ENST00000249776.13
KRAS	ENST00000311936.8
KTN1	ENST00000395314.8
LARP4B	ENST00000316157.8
LASP1	ENST00000318008.11
LATS1	ENST00000543571.6
LATS2	ENST00000382592.5
LCK	ENST00000336890.10
LCP1	ENST00000398576.6
LDLR	ENST00000558518.6
LEF1	ENST00000438313.6
LEMD3	ENST00000308330.3
LEPROTL1	ENST00000321250.13
LHFPL6	ENST00000379589.4
LIFR	ENST00000263409.8
LIG4	ENST00000405925.2
LMNA	ENST00000675939.1
LMO1	ENST00000335790.8
LMO2	ENST00000395833.7
LPP	ENST00000617246.5
LRIG3	ENST00000320743.8
LRP1B	ENST00000389484.8
LSM14A	ENST00000544216.8
LYL1	ENST00000264824.5
LYN	ENST00000519728.6
LZTR1	ENST00000646124.2
MACC1	ENST00000400331.10
MAD2L2	ENST00000235310.7
MAF	ENST00000326043.5
MAFB	ENST00000373313.3
MALAT1	ENST00000619449.2
MALT1	ENST00000649217.2
MAML2	ENST00000524717.6
MAP2K1	ENST00000307102.10
MAP2K2	ENST00000262948.10
MAP2K4	ENST00000353533.10
MAP3K1	ENST00000399503.4
MAP3K13	ENST00000424227.5
MAPK1	ENST00000215832.11
MAX	ENST00000358664.9
MB21D2	ENST00000392452.3
MBD4	ENST00000249910.5
MDH2	ENST00000315758.10
MDM2	ENST00000539479.6
MDM4	ENST00000367182.8
MDS2	ENST00000477916.5
MECOM	ENST00000651503.2
MED12	ENST00000374080.8
MEN1	ENST00000312049.11
MET	ENST00000397752.8
MGMT	ENST00000651593.1
MINPP1	ENST00000371996.9
MITF	ENST00000352241.9
MLF1	ENST00000355893.11
MLH1	ENST00000231790.8
MLLT1	ENST00000252674.9
MLLT10	ENST00000631589.1
MLLT11	ENST00000368921.5
MLLT3	ENST00000380338.9
MLLT6	ENST00000621332.5
MN1	ENST00000302326.5
MNX1	ENST00000479817.1
MPL	ENST00000372470.9
MRTFA	ENST00000652095.2
MSH2	ENST00000644092.1
MSH3	ENST00000265081.7
MSH5	ENST00000375703.7
MSH6	ENST00000234420.11
MSI2	ENST00000284073.7
MSN	ENST00000360270.7
MSR1	ENST00000262101.10
MTAP	ENST00000644715.2
MTCP1	ENST00000362018.2
MTOR	ENST00000361445.9
MUC1	ENST00000337604.6
MUC16	ENST00000397910.8
MUC4	ENST00000463781.8
MUTYH	ENST00000354383.10
MYB	ENST00000367814.8
MYC	ENST00000621592.8
MYCL	ENST00000372816.3
MYCN	ENST00000281043.4
MYD88	ENST00000396334.8
MYH11	ENST00000300036.6
MYH9	ENST00000216181.11
MYO5A	ENST00000687574.1
MYOD1	ENST00000250003.4
N4BP2	ENST00000261435.11
NAB2	ENST00000300131.8
NACA	ENST00000356769.7
NAF1	ENST00000274054.3
NBEA	ENST00000400445.8
NBN	ENST00000697292.1
NCKIPSD	ENST00000416649.6
NCOA1	ENST00000405141.5
NCOA2	ENST00000452400.7
NCOA4	ENST00000581486.6
NCOR1	ENST00000268712.8
NCOR2	ENST00000405201.6
NDRG1	ENST00000414097.6
NDUFA13	ENST00000502506.6
NF1	ENST00000358273.9
NF2	ENST00000338641.10
NFATC2	ENST00000396009.7
NFE2L2	ENST00000464747.5
NFIB	ENST00000380953.6
NFIX	ENST00000592199.6
NFKB2	ENST00000428099.6
NFKBIE	ENST00000619360.6
NHP2	ENST00000274606.8
NIN	ENST00000530997.7
NKX2-1	ENST00000518149.5
NONO	ENST00000677446.1
NOP10	ENST00000328848.6
NOTCH1	ENST00000651671.1
NOTCH2	ENST00000256646.7
NOTCH3	ENST00000263388.7
NPM1	ENST00000517671.5
NR4A3	ENST00000618101.4
NRAS	ENST00000369535.5
NRG1	ENST00000356819.7
NSD1	ENST00000439151.7
NSD2	ENST00000508803.6
NSD3	ENST00000317025.13
NT5C2	ENST00000676449.1
NTHL1	ENST00000219066.5
NTRK1	ENST00000368196.7
NTRK3	ENST00000394480.6
NUMA1	ENST00000393695.8
NUP214	ENST00000359428.10
NUP98	ENST00000324932.12
NUTM1	ENST00000614490.4
NUTM2B	ENST00000429828.7
NUTM2D	ENST00000381697.7
NYNRIN	ENST00000382554.4
OLIG2	ENST00000333337.3
OMD	ENST00000375550.5
P2RY8	ENST00000381297.10
PABPC1	ENST00000522720.2
PAFAH1B2	ENST00000527958.6
PALB2	ENST00000261584.9
PARN	ENST00000437198.7
PATZ1	ENST00000266269.10
PAX3	ENST00000392070.7
PAX5	ENST00000358127.9
PAX6	ENST00000379132.8
PAX7	ENST00000420770.7
PAX8	ENST00000429538.8
PBRM1	ENST00000410007.5
PBX1	ENST00000420696.7
PCBP1	ENST00000303577.7
PCM1	ENST00000325083.13
PCSK9	ENST00000302118.5
PDCD1LG2	ENST00000397747.5
PDE4DIP	ENST00000369354.7
PDGFB	ENST00000331163.11
PDGFRA	ENST00000257290.10
PDGFRB	ENST00000261799.9
PER1	ENST00000317276.9
PHF6	ENST00000370803.8
PHOX2B	ENST00000226382.4
PICALM	ENST00000532317.5
PIK3CA	ENST00000263967.4
PIK3CB	ENST00000674063.1
PIK3R1	ENST00000521381.6
PIM1	ENST00000373509.6
PLAG1	ENST00000316981.8
PLCG1	ENST00000685551.1
PML	ENST00000268058.8
PMS1	ENST00000441310.7
PMS2	ENST00000265849.12
POLD1	ENST00000599857.7
POLE	ENST00000320574.10
POLG	ENST00000442287.6
POLH	ENST00000372236.9
POLQ	ENST00000264233.6
POLR2A	ENST00000674977.2
POT1	ENST00000357628.8
POU2AF1	ENST00000393067.8
POU5F1	ENST00000259915.13
PPARG	ENST00000397010.7
PPFIBP1	ENST00000228425.11
PPM1D	ENST00000305921.8
PPP1CB	ENST00000395366.3
PPP2R1A	ENST00000322088.11
PPP6C	ENST00000373547.9
PRCC	ENST00000271526.9
PRDM1	ENST00000652320.1
PRDM16	ENST00000270722.10
PRDM2	ENST00000311066.10
PREX2	ENST00000288368.5
PRF1	ENST00000373209.2
PRKACA	ENST00000308677.9
PRKAR1A	ENST00000589017.6
PRKCB	ENST00000643927.1
PRKD1	ENST00000331968.11
PRPF40B	ENST00000548825.7
PRRX1	ENST00000239461.11
PRSS1	ENST00000311737.12
PSIP1	ENST00000380738.8
PTCH1	ENST00000430669.6
PTCH2	ENST00000372192.4
PTCSC1	ENST00000664551.1
PTCSC3	ENST00000706910.1
PTEN	ENST00000706954.1
PTK6	ENST00000542869.3
PTPN11	ENST00000635625.1
PTPN12	ENST00000248594.11
PTPN13	ENST00000411767.7
PTPN6	ENST00000318974.14
PTPRB	ENST00000261266.9
PTPRC	ENST00000442510.8
PTPRD	ENST00000381196.9
PTPRK	ENST00000368226.9
PTPRT	ENST00000373187.6
PWWP2A	ENST00000524050.5
QKI	ENST00000361752.8
RABEP1	ENST00000537505.6
RABL3	ENST00000273375.8
RAC1	ENST00000348035.9
RAD17	ENST00000509734.5
RAD21	ENST00000297338.7
RAD51	ENST00000267868.8
RAD51B	ENST00000553595.5
RAD51C	ENST00000337432.9
RAD51D	ENST00000345365.11
RAD54L	ENST00000671528.1
RAF1	ENST00000688543.1
RALGDS	ENST00000372050.8
RANBP2	ENST00000283195.11
RAP1GDS1	ENST00000339360.9
RARA	ENST00000394081.7
RB1	ENST00000267163.6
RBM10	ENST00000329236.8
RBM15	ENST00000652747.1
RECQL4	ENST00000617875.6
REL	ENST00000394479.4
REST	ENST00000309042.12
RET	ENST00000355710.8
RFWD3	ENST00000361070.9
RGPD3	ENST00000409886.4
RGS7	ENST00000366564.5
RHOA	ENST00000678200.1
RHOH	ENST00000505618.6
RIT1	ENST00000368323.8
RMI2	ENST00000312499.6
RMRP	ENST00000363046.1
RNASEL	ENST00000367559.7
RNF213	ENST00000582970.6
RNF43	ENST00000577716.5
ROBO2	ENST00000461745.5
ROS1	ENST00000368507.8
RPL10	ENST00000344746.8
RPL11	ENST00000643754.2
RPL15	ENST00000611050.4
RPL22	ENST00000234875.9
RPL23	ENST00000479035.7
RPL26	ENST00000583011.6
RPL27	ENST00000589037.5
RPL31	ENST00000264258.8
RPL35A	ENST00000647248.2
RPL36	ENST00000579649.5
RPL5	ENST00000370321.8
RPN1	ENST00000296255.8
RPS10	ENST00000648437.1
RPS15	ENST00000592588.7
RPS17	ENST00000647841.1
RPS19	ENST00000598742.6
RPS24	ENST00000645440.1
RPS26	ENST00000356464.10
RPS27	ENST00000651669.1
RPS27A	ENST00000402285.7
RPS28	ENST00000600659.3
RPS29	ENST00000556230.2
RPS7	ENST00000645674.2
RRAS2	ENST00000256196.9
RSPO2	ENST00000276659.10
RSPO3	ENST00000356698.9
RTEL1	ENST00000370018.7
RUNX1	ENST00000344691.8
RUNX1T1	ENST00000518317.6
S100A7	ENST00000368723.4
SALL4	ENST00000217086.9
SAMD9	ENST00000620985.4
SAMD9L	ENST00000318238.9
SBDS	ENST00000246868.7
SDC4	ENST00000372733.3
SDHA	ENST00000264932.11
SDHAF2	ENST00000301761.7
SDHB	ENST00000375499.8
SDHC	ENST00000367975.7
SDHD	ENST00000375549.8
SEC23B	ENST00000336714.8
SET	ENST00000322030.13
SETBP1	ENST00000649279.2
SETD1B	ENST00000604567.6
SETD2	ENST00000409792.4
SETDB1	ENST00000271640.9
SF3B1	ENST00000335508.11
SFPQ	ENST00000357214.6
SFRP4	ENST00000436072.7
SGK1	ENST00000237305.11
SH2B3	ENST00000341259.7
SH2D1A	ENST00000698113.1
SH3GL1	ENST00000269886.7
SHOC2	ENST00000691441.1
SHTN1	ENST00000355371.9
SIRPA	ENST00000622179.4
SIX1	ENST00000645694.3
SIX2	ENST00000303077.7
SKI	ENST00000378536.5
SLC25A11	ENST00000225665.12
SLC26A3	ENST00000340010.10
SLC34A2	ENST00000382051.8
SLC45A3	ENST00000367145.4
SLC5A5	ENST00000222248.4
SLX4	ENST00000294008.4
SMAD2	ENST00000356825.8
SMAD3	ENST00000327367.9
SMAD4	ENST00000398417.6
SMAD9	ENST00000379826.5
SMARCA4	ENST00000429416.8
SMARCB1	ENST00000407422.8
SMARCD1	ENST00000394963.9
SMARCE1	ENST00000643318.1
SMC1A	ENST00000322213.9
SMO	ENST00000249373.8
SND1	ENST00000354725.8
SNX29	ENST00000566228.6
SOCS1	ENST00000332029.4
SOS1	ENST00000395038.6
SOS2	ENST00000216373.10
SOX2	ENST00000325404.3
SOX21	ENST00000376945.4
SPECC1	ENST00000678321.1
SPEN	ENST00000375759.8
SPOP	ENST00000347630.6
SPRED1	ENST00000299084.9
SQSTM1	ENST00000389805.9
SRC	ENST00000692112.1
SRGAP1	ENST00000355086.8
SRGAP3	ENST00000383836.8
SRP72	ENST00000642900.1
SRRM2	ENST00000301740.13
SRSF2	ENST00000392485.2
SRSF3	ENST00000373715.11
SS18	ENST00000269137.11
SS18L1	ENST00000331758.8
SSX1	ENST00000376919.4
SSX2	ENST00000337502.6
SSX4	ENST00000595689.3
STAG1	ENST00000383202.7
STAG2	ENST00000687852.1
STAT3	ENST00000678044.1
STAT5B	ENST00000698777.1
STAT6	ENST00000556155.5
STIL	ENST00000360380.7
STK11	ENST00000326873.12
STN1	ENST00000698298.1
STRN	ENST00000263918.9
STX11	ENST00000367568.5
STXBP2	ENST00000221283.10
SUB1	ENST00000506237.5
SUFU	ENST00000369902.8
SUZ12	ENST00000322652.10
SYK	ENST00000375754.9
TAF15	ENST00000605844.6
TAL1	ENST00000691006.1
TAL2	ENST00000334077.6
TBL1XR1	ENST00000457928.7
TBX3	ENST00000349155.7
TCEA1	ENST00000521604.7
TCF12	ENST00000333725.10
TCF3	ENST00000262965.12
TCF7L2	ENST00000545257.6
TCL1A	ENST00000554012.5
TEC	ENST00000381501.8
TENT5C	ENST00000369448.4
TERC	ENST00000602385.1
TERF2IP	ENST00000300086.5
TERT	ENST00000310581.10
TET1	ENST00000373644.5
TET2	ENST00000513237.5
TFE3	ENST00000315869.8
TFEB	ENST00000373033.6
TFG	ENST00000675499.1
TFPT	ENST00000391759.6
TFRC	ENST00000360110.9
TG	ENST00000220616.9
TGFBR2	ENST00000295754.10
THRAP3	ENST00000354618.10
TINF2	ENST00000267415.12
TLX1	ENST00000370196.11
TLX3	ENST00000296921.6
TMEM127	ENST00000258439.8
TMPRSS2	ENST00000454499.6
TMSB4X	ENST00000380636.1
TNC	ENST00000350763.9
TNFAIP3	ENST00000421450.2
TNFRSF11A	ENST00000586569.3
TNFRSF14	ENST00000355716.5
TNFRSF17	ENST00000053243.6
TOP1	ENST00000361337.3
TP53	ENST00000269305.9
TP63	ENST00000354600.10
TPM3	ENST00000651641.1
TPM4	ENST00000646974.2
TPR	ENST00000367478.9
TRAF7	ENST00000326181.11
TRIM24	ENST00000343526.9
TRIM27	ENST00000377199.4
TRIM28	ENST00000253024.10
TRIM33	ENST00000358465.7
TRIM37	ENST00000393066.7
TRIP11	ENST00000267622.8
TRIP13	ENST00000166345.8
TRRAP	ENST00000456197.2
TSC1	ENST00000646625.1
TSC2	ENST00000350773.9
TSHR	ENST00000541158.6
TSR2	ENST00000375151.5
U2AF1	ENST00000380276.6
UBA2	ENST00000246548.9
UBE2T	ENST00000699423.1
UBR5	ENST00000520539.6
UNC13D	ENST00000207549.9
USP44	ENST00000258499.8
USP6	ENST00000574788.6
USP8	ENST00000396444.7
USP9X	ENST00000378308.7
VAV1	ENST00000602142.6
VHL	ENST00000256474.3
VTI1A	ENST00000393077.3
VTRNA2-1	ENST00000602301.2
WAS	ENST00000698625.1
WDCP	ENST00000295148.9
WIF1	ENST00000286574.9
WNK2	ENST00000432730.6
WRAP53	ENST00000431639.6
WRN	ENST00000298139.7
WT1	ENST00000639563.3
WWTR1	ENST00000465804.5
XPA	ENST00000375128.5
XPC	ENST00000285021.12
XPO1	ENST00000676553.1
XRCC2	ENST00000359321.2
YWHAE	ENST00000264335.13
ZBTB16	ENST00000335953.9
ZCCHC8	ENST00000672018.1
ZEB1	ENST00000424869.6
ZFHX3	ENST00000641206.2
ZMYM2	ENST00000382874.6
ZMYM3	ENST00000314425.9
ZNF331	ENST00000648236.1
ZNF384	ENST00000396801.7
ZNF429	ENST00000358491.9
ZNF479	ENST00000331162.8
ZNF521	ENST00000361524.8
ZNRF3	ENST00000402174.5
ZRSR2	ENST00000307771.8
